VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-02-01 00:00:32,2016-02-01 00:22:17,2,8.40,-74.0133056640625,40.702056884765625,1,N,-73.960525512695312,40.65234375,2,25.5,0.5,0.5,0,0,0.3,26.8
1,2016-02-01 00:00:32,2016-02-01 00:20:33,1,9.80,-73.990425109863281,40.741172790527344,1,N,-74.030166625976563,40.638072967529297,1,28.5,0.5,0.5,5.95,0,0.3,35.75
1,2016-02-01 00:00:33,2016-02-01 00:11:19,1,3.60,-73.978118896484375,40.729473114013672,1,N,-73.952072143554688,40.773300170898437,1,12.5,0.5,0.5,2.75,0,0.3,16.55
1,2016-02-01 00:00:33,2016-02-01 00:04:50,2,.30,-73.9903564453125,40.759262084960938,1,N,-73.985099792480469,40.760292053222656,1,4.5,0.5,0.5,2,0,0.3,7.8
2,2016-02-01 00:00:33,2016-02-01 00:12:07,5,3.91,-73.948509216308594,40.784961700439453,1,N,-73.992637634277344,40.754058837890625,1,13,0.5,0.5,2.86,0,0.3,17.16
1,2016-02-01 00:00:34,2016-02-01 00:09:27,1,2.70,-73.954437255859375,40.789749145507812,1,N,-73.953239440917969,40.817558288574219,2,10,0.5,0.5,0,0,0.3,11.3
1,2016-02-01 00:00:34,2016-02-01 00:03:39,1,.50,-73.985214233398437,40.747383117675781,1,N,-73.991371154785156,40.749927520751953,2,4,0.5,0.5,0,0,0.3,5.3
1,2016-02-01 00:00:35,2016-02-01 00:03:01,1,.70,-73.997856140136719,40.751510620117187,1,N,-74.004951477050781,40.743312835693359,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2016-02-01 00:00:35,2016-02-01 00:08:43,3,2.00,-73.981986999511719,40.771270751953125,1,N,-73.985755920410156,40.749927520751953,2,8.5,0.5,0.5,0,0,0.3,9.8
1,2016-02-01 00:00:35,2016-02-01 00:28:16,1,18.40,-73.789825439453125,40.646907806396484,1,N,-73.941383361816406,40.686599731445313,1,49.5,0.5,0.5,12.7,0,0.3,63.5
